"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"ACM Transactions on Computing for Healthcare","ACM T COMPUT HEALTHC","ASSOC COMPUTING MACHINERY","2691-1957","2637-8051","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,175","4","Q2","1.56","27.45"%,
"MATHEMATICS AND COMPUTERS IN SIMULATION","MATH COMPUT SIMULAT","ELSEVIER","0378-4754","1872-7166","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","11,408","4","Q2","1.5","15.38"%,
"Applied Computing and Geosciences","APPL COMPUT GEOSCI","ELSEVIER","2590-1974","2590-1974","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","680","4","Q2","0.85","100"%,
"Journal of Computational Science","J COMPUT SCI-NETH","ELSEVIER","1877-7503","1877-7511","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,644","4","Q2","0.82","27.08"%,
"International Journal of Computational Intelligence Systems","INT J COMPUT INT SYS","SPRINGERNATURE","1875-6891","1875-6883","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,052","4","Q2","0.66","100"%,
"JOURNAL OF COMPUTATIONAL PHYSICS","J COMPUT PHYS","ACADEMIC PRESS INC ELSEVIER SCIENCE","0021-9991","1090-2716","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","78,275","3.9","Q2","1.09","26.28"%,
"COMPUTER PHYSICS COMMUNICATIONS","COMPUT PHYS COMMUN","ELSEVIER","0010-4655","1879-2944","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","41,347","3.9","Q2","1.03","38.61"%,
"Foundations and Trends in Communications and Information Theory","FOUND TRENDS COMMUN","NOW PUBLISHERS INC","1567-2190","1567-2328","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","844","3.9","Q2","0.92","0"%,
"Journal of Informetrics","J INFORMETR","ELSEVIER","1751-1577","1875-5879","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","8,774","3.9","Q2","0.89","25.45"%,
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","23,463","3.8","Q2","0.86","35.46"%,
"Frontiers in Big Data","FRONT BIG DATA","FRONTIERS MEDIA SA","N/A","2624-909X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","2,258","3.8","Q2","0.52","100"%,
"JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING","J COMPUT INF SCI ENG","ASME","1530-9827","1944-7078","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,528","3.7","Q2","0.71","6.23"%,
"Computational Urban Science","COMPUT URBAN SCI","SPRINGERNATURE","N/A","2730-6852","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","747","3.7","Q2","0.61","100"%,
"IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS","IEEE T COMPUT AID D","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0278-0070","1937-4151","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","12,083","3.6","Q2","0.68","4.2"%,
"ACM Transactions on Accessible Computing","ACM T ACCESS COMPUT","ASSOC COMPUTING MACHINERY","1936-7228","1936-7236","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,071","3.6","Q2","0.66","29.51"%,
"Systems and Soft Computing","SYST SOFT COMPUT","ELSEVIER","N/A","2772-9419","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","677","3.6","Q2","0.64","100"%,
