"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Journal of Artificial Intelligence and Soft Computing Research","J ARTIF INTELL SOFT","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","2083-2567","2449-6499","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","612","5","Q2","0.68","100"%,
"Journal of Responsible Technology","J RESPONSIB TECHNOL","ELSEVIER","N/A","2666-6596","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","417","4.9","Q2","1.24","100"%,
"Journal of Real-Time Image Processing","J REAL-TIME IMAGE PR","SPRINGER HEIDELBERG","1861-8200","1861-8219","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,108","4.9","Q2","0.88","8.04"%,
"IEEE Transactions on Machine Learning in Communications and Networking","IEEE T MACH LEARN CO","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","2831-316X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","695","4.9","Q2","0.81","100"%,
"MACHINE LEARNING","MACH LEARN","SPRINGER","0885-6125","1573-0565","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","40,960","4.9","Q2","0.62","48.82"%,
"INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS","INT J INTELL SYST","WILEY","0884-8173","1098-111X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","8,196","4.8","Q2","0.59","100"%,
"IEEE Transactions on Cognitive and Developmental Systems","IEEE T COGN DEV SYST","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2379-8920","2379-8939","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,134","4.7","Q2","1.11","5.21"%,
"ARTIFICIAL INTELLIGENCE","ARTIF INTELL-AMST","ELSEVIER","0004-3702","1872-7921","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","11,429","4.7","Q2","0.74","48.68"%,
"MINDS AND MACHINES","MIND MACH","SPRINGER","0924-6495","1572-8641","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,195","4.7","Q2","0.66","72.87"%,
"IEEE Open Journal of Intelligent Transportation Systems","IEEE OPEN J INTEL TR","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","2687-7813","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,331","4.6","Q2","0.95","100"%,
"Big Data Research","BIG DATA RES","ELSEVIER","2214-5796","2214-5796","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,302","4.6","Q2","0.85","22.4"%,
"Quantum Machine Intelligence","QUANT MACH INTELL","SPRINGERNATURE","2524-4906","2524-4914","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,364","4.6","Q2","0.85","50.2"%,
"Evolutionary Intelligence","EVOL INTELL","SPRINGER HEIDELBERG","1864-5909","1864-5917","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","2,643","4.6","Q2","0.45","9.27"%,
"IEEE INTELLIGENT SYSTEMS","IEEE INTELL SYST","IEEE COMPUTER SOC","1541-1672","1941-1294","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,747","4.5","Q2","0.88","11.03"%,
"Complex & Intelligent Systems","COMPLEX INTELL SYST","SPRINGER HEIDELBERG","2199-4536","2198-6053","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","8,959","4.5","Q2","0.71","100"%,
"Artificial Intelligence for the Earth Systems","ARTIF INTELL EARTH S","AMER METEOROLOGICAL SOC","2769-7525","2769-7525","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","820","4.5","Q2","0.69","5.16"%,
"International Journal of Software Science and Computational Intelligence-IJSSCI","INT J SOFTW SCI COMP","IGI GLOBAL","1942-9045","1942-9037","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","178","4.5","Q2","0.65","100"%,
"IEEE Transactions on Biometrics, Behavior, and Identity Science","IEEE T BIOM BEHAV ID","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","2637-6407","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,254","4.4","Q2","0.85","10.24"%,
"IEEE Transactions on Human-Machine Systems","IEEE T HUM-MACH SYST","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2291","2168-2305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,199","4.4","Q2","0.76","9.65"%,
"Egyptian Informatics Journal","EGYPT INFORM J","CAIRO UNIV, FAC COMPUTERS & INFORMATION","1110-8665","2090-4754","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,932","4.2","Q2","0.97","99.51"%,
"Machine Learning-Science and Technology","MACH LEARN-SCI TECHN","IOP Publishing Ltd","N/A","2632-2153","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,910","4.2","Q2","0.79","100"%,
"EVOLUTIONARY COMPUTATION","EVOL COMPUT","MIT PRESS","1063-6560","1530-9304","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,537","4.1","Q2","0.74","3.85"%,
"APL Machine Learning","APL MACH LEARN","AIP Publishing","N/A","2770-9019","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","681","4.1","Q2","0.59","99.55"%,
"JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH","J ARTIF INTELL RES","AI ACCESS FOUNDATION","1076-9757","1943-5037","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","11,089","4","Q2","0.68","48.65"%,
"International Journal of Computational Intelligence Systems","INT J COMPUT INT SYS","SPRINGERNATURE","1875-6891","1875-6883","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,052","4","Q2","0.66","100"%,
"APPLIED ARTIFICIAL INTELLIGENCE","APPL ARTIF INTELL","TAYLOR & FRANCIS INC","0883-9514","1087-6545","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,854","4","Q2","0.62","100"%,
"International Journal of Multimedia Information Retrieval","INT J MULTIMED INF R","SPRINGER","2192-6611","2192-662X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,182","3.9","Q2","0.66","9.84"%,
"DATA & KNOWLEDGE ENGINEERING","DATA KNOWL ENG","ELSEVIER","0169-023X","1872-6933","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,129","3.9","Q2","0.65","35.08"%,
"Intelligence & Robotics","INTELL ROBOT","OAE PUBLISHING INC","N/A","2770-3541","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","427","3.9","Q2","0.45","82.41"%,
"CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS","CHEMOMETR INTELL LAB","ELSEVIER","0169-7439","1873-3239","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","12,276","3.8","Q2","1.05","25.39"%,
"Evolving Systems","EVOL SYST-GER","SPRINGER HEIDELBERG","1868-6478","1868-6486","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,595","3.7","Q2","0.49","8.42"%,
"COMPUTER VISION AND IMAGE UNDERSTANDING","COMPUT VIS IMAGE UND","ACADEMIC PRESS INC ELSEVIER SCIENCE","1077-3142","1090-235X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","8,440","3.6","Q2","0.69","19.3"%,
"Systems and Soft Computing","SYST SOFT COMPUT","ELSEVIER","N/A","2772-9419","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","677","3.6","Q2","0.64","100"%,
"KNOWLEDGE AND INFORMATION SYSTEMS","KNOWL INF SYST","SPRINGER LONDON LTD","0219-1377","0219-3116","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,941","3.6","Q2","0.59","16.28"%,
"Frontiers in Neurorobotics","FRONT NEUROROBOTICS","FRONTIERS MEDIA SA","1662-5218","1662-5218","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,024","3.5","Q2","0.65","100"%,
